tempo,breque,cria_jur_1,cria_jur_2,jus_estr,exec_jur_1,exec_jur_3,jus_exec
513,solo caxa,0.00,0.00,,0.00,0.00,
514,solo caxa,0.00,0.00,,0.00,0.00,
515,solo caxa,2.00,0.00,solo caixa,0.00,0.00,
516,samba,0.00,0.00,,0.00,0.00,
517,samba,0.00,0.00,,0.00,0.00,
518,samba,0.00,0.00,,0.00,0.00,
519,samba,0.00,0.00,,0.00,0.00,
520,samba,0.00,0.00,,0.00,0.00,
521,samba,0.00,0.00,,0.00,0.00,
522,samba,0.00,0.00,,0.00,0.00,
523,samba,0.00,0.00,,0.00,0.00,
524,samba,0.00,0.00,,0.00,0.00,
525,samba,0.00,0.00,,0.00,0.00,
526,samba,0.00,0.00,,0.00,0.00,
527,samba,0.00,0.00,,0.00,0.00,
528,samba,0.00,0.00,,0.00,0.00,
529,samba,0.00,0.00,,0.00,0.00,
530,samba,0.00,0.00,,0.00,0.00,
531,samba,0.00,0.00,,0.00,0.00,
532,samba,0.00,0.00,,0.00,0.00,
533,vem monstro,0.00,0.00,,0.00,0.00,
534,vem monstro,0.00,0.00,,0.00,0.00,
535,vem monstro,0.00,0.00,,0.00,0.00,
536,vem monstro,0.00,0.00,,0.00,0.00,
537,vem monstro,0.00,0.00,,0.00,0.00,
538,vem monstro,0.00,0.00,,0.00,0.10,tamborins
539,vem monstro,0.00,0.00,,0.00,0.00,
540,vem monstro,0.00,0.00,,0.00,0.00,
541,vem monstro,0.00,0.00,,0.00,0.00,
542,vem monstro,0.00,0.00,,0.00,0.00,
